source_path,source_full_url,parsed_name,parsed_city,parsed_specialty
/hausarzt/freiberg/herr-dr-med-sigurd-bochmann-freiberg,https://rzte-online.vercel.app/hausarzt/freiberg/herr-dr-med-sigurd-bochmann-freiberg,sigurd bochmann freiberg,freiberg,hausarzt
/hausarzt/eichstaett/dr-med-margret-bauer-eichsttt,https://rzte-online.vercel.app/hausarzt/eichstaett/dr-med-margret-bauer-eichsttt,margret bauer eichstaett,eichstaett,hausarzt
/hausarzt/solingen/drmed-hans-peter-holbeck-solingen,https://rzte-online.vercel.app/hausarzt/solingen/drmed-hans-peter-holbeck-solingen,hans peter holbeck solingen,solingen,hausarzt
/arzt/erkner/thorsten-kruse-facharzt-fuer-innere-medizin-8836,https://rzte-online.vercel.app/arzt/erkner/thorsten-kruse-facharzt-fuer-innere-medizin-8836,thorsten kruse medizin,erkner,arzt
/orthopaede/ottweiler/drmed-axel-wolf-facharzt-fr-orthopdie-ottweiler,https://rzte-online.vercel.app/orthopaede/ottweiler/drmed-axel-wolf-facharzt-fr-orthopdie-ottweiler,axel wolf ottweiler,ottweiler,orthopaede
/hausarzt/beelitz/frau-dipl-med-ramona-wendland-beelitz,https://rzte-online.vercel.app/hausarzt/beelitz/frau-dipl-med-ramona-wendland-beelitz,ramona wendland beelitz,beelitz,hausarzt
/arzt/lohr/herr-dr-med-dirk-trautvetter-lohr,https://rzte-online.vercel.app/arzt/lohr/herr-dr-med-dirk-trautvetter-lohr,dirk trautvetter lohr,lohr,arzt
/hausarzt/greifswald/drmed-mathias-meyer-facharzt-fr-allgemeinmedizin-greifswald,https://rzte-online.vercel.app/hausarzt/greifswald/drmed-mathias-meyer-facharzt-fr-allgemeinmedizin-greifswald,mathias meyer greifswald,greifswald,hausarzt
/hausarzt/haseluenne/drmed-andreas-euler-haselnne,https://rzte-online.vercel.app/hausarzt/haseluenne/drmed-andreas-euler-haselnne,andreas euler haseluenne,haseluenne,hausarzt
/hausarzt/mittweida/dr-steffen-schreiber-mittweida,https://rzte-online.vercel.app/hausarzt/mittweida/dr-steffen-schreiber-mittweida,steffen schreiber mittweida,mittweida,hausarzt
/hausarzt/petersberg/herr-dr-med-michael-harre-petersberg,https://rzte-online.vercel.app/hausarzt/petersberg/herr-dr-med-michael-harre-petersberg,michael harre petersberg,petersberg,hausarzt
/arzt/bautzen/dr-med-markus-hentschel-bautzen,https://rzte-online.vercel.app/arzt/bautzen/dr-med-markus-hentschel-bautzen,markus hentschel bautzen,bautzen,arzt
/hausarzt/philippsburg/frau-dr-med-annette-weik-scheurer-philippsburg,https://rzte-online.vercel.app/hausarzt/philippsburg/frau-dr-med-annette-weik-scheurer-philippsburg,annette weik scheurer philippsburg,philippsburg,hausarzt
/hausarzt/luedenscheid/herr-dr-med-volker-budde-ldenscheid,https://rzte-online.vercel.app/hausarzt/luedenscheid/herr-dr-med-volker-budde-ldenscheid,volker budde luedenscheid,luedenscheid,hausarzt
/hausarzt/buchen-odenwald/herr-helmut-koenig-5360,https://rzte-online.vercel.app/hausarzt/buchen-odenwald/herr-helmut-koenig-5360,helmut koenig,buchen-odenwald,hausarzt
/arzt/eschwege/herr-dr-med-roman-ergang-eschwege,https://rzte-online.vercel.app/arzt/eschwege/herr-dr-med-roman-ergang-eschwege,roman ergang eschwege,eschwege,arzt
/hausarzt/giessen/herr-dr-med-jrgen-fhrer-gieen,https://rzte-online.vercel.app/hausarzt/giessen/herr-dr-med-jrgen-fhrer-gieen,jrgen fhrer giessen,giessen,hausarzt
/hausarzt/ahaus/dr-barbara-tielkes-ahaus,https://rzte-online.vercel.app/hausarzt/ahaus/dr-barbara-tielkes-ahaus,barbara tielkes ahaus,ahaus,hausarzt
/hausarzt/sulzbach-rosenberg/claudius-rothbauer-sulzbach-rosenberg,https://rzte-online.vercel.app/hausarzt/sulzbach-rosenberg/claudius-rothbauer-sulzbach-rosenberg,claudius rothbauer sulzbach rosenberg,sulzbach-rosenberg,hausarzt
/hausarzt/baunatal/michael-frlich-baunatal,https://rzte-online.vercel.app/hausarzt/baunatal/michael-frlich-baunatal,michael frlich baunatal,baunatal,hausarzt
/hausarzt/eberswalde/dr-med-konstantin-zellmer-eberswalde,https://rzte-online.vercel.app/hausarzt/eberswalde/dr-med-konstantin-zellmer-eberswalde,konstantin zellmer eberswalde,eberswalde,hausarzt
/zahnarzt/landau/frau-prof-dr-med-dent-claudia-reicheneder-landau,https://rzte-online.vercel.app/zahnarzt/landau/frau-prof-dr-med-dent-claudia-reicheneder-landau,claudia reicheneder landau,landau,zahnarzt
/arzt/loebau/herr-dipl-med-helmer-hache-lbau,https://rzte-online.vercel.app/arzt/loebau/herr-dipl-med-helmer-hache-lbau,helmer hache loebau,loebau,arzt
/augenarzt/frankenbergsachsen/dr-ute-hunger-frankenbergsachsen,https://rzte-online.vercel.app/augenarzt/frankenbergsachsen/dr-ute-hunger-frankenbergsachsen,ute hunger frankenbergsachsen,frankenbergsachsen,augenarzt
/hausarzt/bargteheide/drmedsandra-nagel-bargteheide,https://rzte-online.vercel.app/hausarzt/bargteheide/drmedsandra-nagel-bargteheide,drmedsandra nagel bargteheide,bargteheide,hausarzt
/hausarzt/eschborn/doctor-ivona-djoric-eschborn,https://rzte-online.vercel.app/hausarzt/eschborn/doctor-ivona-djoric-eschborn,ivona djoric eschborn,eschborn,hausarzt
/arzt/luedenscheid/herr-dr-med-dietrich-kmpfe-ldenscheid,https://rzte-online.vercel.app/arzt/luedenscheid/herr-dr-med-dietrich-kmpfe-ldenscheid,dietrich kmpfe luedenscheid,luedenscheid,arzt
/augenarzt/balve/dr-med-theodor-vorhoff-balve,https://rzte-online.vercel.app/augenarzt/balve/dr-med-theodor-vorhoff-balve,theodor vorhoff balve,balve,augenarzt
/hausarzt/itzehoe/hausarztpraxis-aust-itzehoe,https://rzte-online.vercel.app/hausarzt/itzehoe/hausarztpraxis-aust-itzehoe,aust itzehoe,itzehoe,hausarzt
/hausarzt/hennef/drmed-manfred-maylahn-praktischer-arzt-hennef,https://rzte-online.vercel.app/hausarzt/hennef/drmed-manfred-maylahn-praktischer-arzt-hennef,manfred maylahn arzt hennef,hennef,hausarzt
/hausarzt/gera/drmed-susanna-remmler-gera,https://rzte-online.vercel.app/hausarzt/gera/drmed-susanna-remmler-gera,susanna remmler gera,gera,hausarzt
/hausarzt/goerlitz/frau-dr-med-elisabeth-domsgen-grlitz,https://rzte-online.vercel.app/hausarzt/goerlitz/frau-dr-med-elisabeth-domsgen-grlitz,elisabeth domsgen goerlitz,goerlitz,hausarzt
/hausarzt/fuerstenwaldespree/frau-dr-med-brnig-frstenwaldespree,https://rzte-online.vercel.app/hausarzt/fuerstenwaldespree/frau-dr-med-brnig-frstenwaldespree,brnig fuerstenwalde spree,fuerstenwalde-spree,hausarzt
/hausarzt/soest/dr-med-barbara-knollmann-soest,https://rzte-online.vercel.app/hausarzt/soest/dr-med-barbara-knollmann-soest,barbara knollmann soest,soest,hausarzt
/hausarzt/wismar/dr-romy-kujat-wismar,https://rzte-online.vercel.app/hausarzt/wismar/dr-romy-kujat-wismar,romy kujat wismar,wismar,hausarzt
/hausarzt/ebersbach/frau-dr-med-danijela-arizanovic-ebersbach,https://rzte-online.vercel.app/hausarzt/ebersbach/frau-dr-med-danijela-arizanovic-ebersbach,danijela arizanovic ebersbach,ebersbach,hausarzt
/hausarzt/bad-waldsee/herr-dr-hc-ulf-michael-deckers,https://rzte-online.vercel.app/hausarzt/bad-waldsee/herr-dr-hc-ulf-michael-deckers,ulf michael deckers,bad-waldsee,hausarzt
/hausarzt/loeningen/medizinisches-versorgungszhasetal-lningen-lningen,https://rzte-online.vercel.app/hausarzt/loeningen/medizinisches-versorgungszhasetal-lningen-lningen,versorgungszhasetal loeningen loeningen,loeningen,hausarzt
/arzt/erndtebrueck/praxis-said-moshref-erndtebrck,https://rzte-online.vercel.app/arzt/erndtebrueck/praxis-said-moshref-erndtebrck,said moshref erndtebrueck,erndtebrueck,arzt
